#,Palabra, Nula[%], Baja[%] , Media[%], Alta[%], PFA,Categoría
130,beneficiar,0,10,60,30,0.729,Alegría
131,beneficio,0,0,30,70,0.898,Alegría
132,beneficiosamente,0,10,40,50,0.797,Alegría
133,beneficioso,0,0,40,60,0.864,Alegría
134,benéfico,0,10,30,60,0.831,Alegría
135,beneplácito,10,40,20,30,0.564,Alegría
136,benévolamente,0,60,40,0,0.462,Alegría
137,benevolencia,0,60,40,0,0.462,Alegría
138,benevolente,0,40,60,0,0.528,Alegría
139,benévolo,10,30,60,0,0.495,Alegría
140,benignamente,30,30,10,30,0.465,Alegría
141,benigno,30,30,10,30,0.465,Alegría
142,bien,10,0,30,60,0.798,Alegría
143,bienandanza,10,10,20,60,0.765,Alegría
144,bienaventurado,0,10,30,60,0.831,Alegría
145,bienaventuranza,0,40,30,30,0.63,Alegría
146,bienestar,0,0,20,80,0.932,Alegría
147,bienhechor,0,10,70,20,0.695,Alegría
148,bienquerencia,0,10,60,30,0.729,Alegría
149,bienquerer,0,0,70,30,0.762,Alegría
150,bizbirondo,0,10,10,80,0.899,Alegría
151,blando,40,60,0,0,0.198,Alegría
152,blandura,60,40,0,0,0.132,Alegría
153,bondad,0,20,50,30,0.696,Alegría
154,bondadosamente,0,20,50,30,0.696,Alegría
155,bondadoso,0,10,50,40,0.763,Alegría
156,bonhomía,20,20,60,0,0.462,Alegría
157,brillante,10,10,50,30,0.663,Alegría
158,brío,20,30,40,10,0.463,Alegría
159,brioso,20,30,40,10,0.463,Alegría
160,bromear,0,10,30,60,0.831,Alegría
161,bueno,0,0,30,70,0.898,Alegría
162,bullanguero,10,20,30,40,0.664,Alegría
163,bullicioso,0,40,20,40,0.664,Alegría
164,burla,40,20,30,10,0.364,Alegría
165,burlar,30,30,20,20,0.431,Alegría
166,cabal,40,40,20,0,0.264,Alegría
167,calidez,0,20,70,10,0.628,Alegría
168,cálido,20,40,30,10,0.43,Alegría
169,caliente,40,40,20,0,0.264,Alegría
170,calmado,50,30,20,0,0.231,Alegría
171,calor,70,30,0,0,0.099,Alegría
172,calurosamente,50,10,20,20,0.365,Alegría
173,camaradería,0,40,30,30,0.63,Alegría
174,campante,10,30,50,10,0.529,Alegría
175,captivar,20,40,30,10,0.43,Alegría
176,capturar,70,30,0,0,0.099,Alegría
177,carcajada,0,0,20,80,0.932,Alegría
178,caridad,0,40,30,30,0.63,Alegría
179,cariño,0,0,40,60,0.864,Alegría
180,cariñosamente,0,20,30,50,0.764,Alegría
181,cariñoso,0,0,50,50,0.83,Alegría
182,caritativo,0,40,30,30,0.63,Alegría
183,cautivador,0,20,70,10,0.628,Alegría
184,cautivadoramente,0,30,60,10,0.595,Alegría
185,cautivar,0,40,50,10,0.562,Alegría
186,celebrar,0,10,0,90,0.933,Alegría
187,celo,70,20,10,0,0.132,Alegría
188,celosamente,80,20,0,0,0.066,Alegría
189,celoso,90,10,0,0,0.033,Alegría
190,chancear,10,20,20,50,0.698,Alegría
191,chanza,20,20,20,40,0.598,Alegría
192,chotear,10,30,10,50,0.665,Alegría
193,choteo,20,20,30,30,0.564,Alegría
194,chulear,0,30,50,20,0.629,Alegría
195,clemente,40,40,20,0,0.264,Alegría
196,cogida,60,30,0,10,0.199,Alegría
197,cogollo,80,20,0,0,0.066,Alegría
198,colmar,70,10,20,0,0.165,Alegría
199,colosal,10,50,30,10,0.463,Alegría
200,cómodamente,0,30,50,20,0.629,Alegría
201,comodidad,0,20,60,20,0.662,Alegría
202,cómodo,0,10,70,20,0.695,Alegría
203,compañerismo,10,0,50,40,0.73,Alegría
204,compasión,30,40,20,10,0.364,Alegría
205,compasivo,10,60,20,10,0.43,Alegría
206,compatibilidad,0,60,30,10,0.496,Alegría
207,compatible,10,40,50,0,0.462,Alegría
208,compatiblemente,10,70,20,0,0.363,Alegría
209,compensación,30,50,10,10,0.331,Alegría
210,complacencia,10,10,60,20,0.629,Alegría
211,complacer,0,20,40,40,0.73,Alegría
212,complacible,10,10,70,10,0.595,Alegría
213,complacido,0,0,40,60,0.864,Alegría
214,complaciente,10,0,50,40,0.73,Alegría
215,comprensivo,0,40,50,10,0.562,Alegría
216,concernir,80,20,0,0,0.066,Alegría
217,condescender,20,50,30,0,0.363,Alegría
218,condescendiente,20,40,40,0,0.396,Alegría
219,condimento,70,30,0,0,0.099,Alegría
220,condolencia,60,40,0,0,0.132,Alegría
221,confiado,40,30,30,0,0.297,Alegría
222,confirmación,20,50,30,0,0.363,Alegría
223,confirmar,10,70,20,0,0.363,Alegría
224,confort,10,20,50,20,0.596,Alegría
225,confortable,0,30,40,30,0.663,Alegría
226,confortablemente,0,30,60,10,0.595,Alegría
227,confortación,10,30,50,10,0.529,Alegría
228,confortador,10,40,40,10,0.496,Alegría
229,confortar,0,50,40,10,0.529,Alegría
230,confraternidad,0,20,40,40,0.73,Alegría
231,congeniar,0,20,70,10,0.628,Alegría
232,congraciar,0,20,80,0,0.594,Alegría
233,congratular,0,30,20,50,0.731,Alegría
234,conmiseración,80,20,0,0,0.066,Alegría
235,conmover,50,50,0,0,0.165,Alegría
236,conquista,20,30,40,10,0.463,Alegría
237,consenso,20,60,20,0,0.33,Alegría
238,consentimiento,10,60,30,0,0.396,Alegría
239,consideración,10,60,30,0,0.396,Alegría
240,considerar,10,60,30,0,0.396,Alegría
241,consolación,20,50,20,10,0.397,Alegría
242,consolador,40,30,20,10,0.331,Alegría
243,consolar,20,50,20,10,0.397,Alegría
244,consuelo,20,40,30,10,0.43,Alegría
245,consumar,30,40,20,10,0.364,Alegría
246,contemporizar,50,50,0,0,0.165,Alegría
247,contentar,0,0,70,30,0.762,Alegría
248,contento,0,0,10,90,0.966,Alegría
249,copiosidad,10,20,60,10,0.562,Alegría
250,copioso,20,20,60,0,0.462,Alegría
251,corazón,30,40,30,0,0.33,Alegría
252,cordial,0,30,50,20,0.629,Alegría
253,cordialidad,0,30,40,30,0.663,Alegría
254,cordialmente,0,10,60,30,0.729,Alegría
255,cortesía,0,10,70,20,0.695,Alegría
256,cosquillear,0,20,30,50,0.764,Alegría
257,cosquilleo,0,20,30,50,0.764,Alegría
258,crecer,0,60,20,20,0.53,Alegría
259,cuidar,30,40,30,0,0.33,Alegría
260,culminación,30,40,10,20,0.398,Alegría
261,culto,40,40,20,0,0.264,Alegría
262,cumplido,20,10,60,10,0.529,Alegría
263,cumplimentar,30,40,20,10,0.364,Alegría
264,cumplir,20,20,50,10,0.496,Alegría
265,decorativo,10,70,20,0,0.363,Alegría
266,dedicar,10,40,50,0,0.462,Alegría
267,deferencia,0,50,50,0,0.495,Alegría
268,deleitar,0,0,60,40,0.796,Alegría
269,deléitese,0,10,70,20,0.695,Alegría
270,delicadeza,40,40,20,0,0.264,Alegría
271,delicado,50,50,0,0,0.165,Alegría
272,delicia,0,30,40,30,0.663,Alegría
273,desagraviar,50,30,20,0,0.231,Alegría
274,desahogo,10,70,20,0,0.363,Alegría
275,desear,10,60,30,0,0.396,Alegría
276,desempeñar,20,30,40,10,0.463,Alegría
277,desempeño,20,10,60,10,0.529,Alegría
278,desenvoltura,40,40,20,0,0.264,Alegría
279,deseoso,30,40,10,20,0.398,Alegría
280,despenar,50,10,40,0,0.297,Alegría
281,despertar,50,40,10,0,0.198,Alegría
282,despreocupación,0,50,30,20,0.563,Alegría
283,devoción,10,50,20,20,0.497,Alegría
284,devoto,20,30,40,10,0.463,Alegría
285,dicha,0,30,20,50,0.731,Alegría
286,dichosamente,0,20,30,50,0.764,Alegría
287,dichoso,0,20,10,70,0.832,Alegría
288,dignificar,10,40,50,0,0.462,Alegría
289,dilección,10,30,40,20,0.563,Alegría
290,disfrutar,0,0,50,50,0.83,Alegría
291,disfrute,0,0,30,70,0.898,Alegría
292,divertidamente,0,0,10,90,0.966,Alegría
293,divertidísimamente,0,0,0,100,1,Alegría
294,divertido,0,0,0,100,1,Alegría
295,divertir,0,0,10,90,0.966,Alegría
296,divinizar,20,50,30,0,0.363,Alegría
297,divino,10,30,40,20,0.563,Alegría
298,donaire,30,20,50,0,0.396,Alegría
299,dulce,10,20,60,10,0.562,Alegría
300,dulzura,10,10,50,30,0.663,Alegría
301,edificante,20,30,30,20,0.497,Alegría
302,edificar,40,10,50,0,0.363,Alegría
303,efusión,30,10,40,20,0.497,Alegría
304,efusivamente,10,0,50,40,0.73,Alegría
305,efusivo,10,0,40,50,0.764,Alegría
306,ejemplo,60,10,30,0,0.231,Alegría
307,elección,50,20,30,0,0.264,Alegría
308,elegante,50,30,20,0,0.231,Alegría
309,elevar,70,10,20,0,0.165,Alegría
310,elogio,20,30,40,10,0.463,Alegría
311,embebecer,0,40,40,20,0.596,Alegría
312,embelesar,0,40,40,20,0.596,Alegría
313,embeleso,20,30,30,20,0.497,Alegría
314,embobar,40,40,10,10,0.298,Alegría
315,emborrachar,0,40,50,10,0.562,Alegría
316,embriagar,0,40,50,10,0.562,Alegría
317,embromar,0,30,60,10,0.595,Alegría
318,embrujar,70,20,10,0,0.132,Alegría
319,embrujo,70,30,0,0,0.099,Alegría
320,emoción,10,0,30,60,0.798,Alegría
321,emocionante,0,10,30,60,0.831,Alegría
322,emocionar,0,10,30,60,0.831,Alegría
323,emotivo,0,10,50,40,0.763,Alegría
324,empatía,20,20,60,0,0.462,Alegría
325,empático,30,20,50,0,0.396,Alegría
326,empeño,30,20,50,0,0.396,Alegría
327,enaltecer,0,60,30,10,0.496,Alegría
328,enamoramiento,0,0,40,60,0.864,Alegría
329,enamorar,0,10,30,60,0.831,Alegría
330,encalmar,50,40,10,0,0.198,Alegría
331,encantado,0,50,50,0,0.495,Alegría
332,encantador,0,10,70,20,0.695,Alegría
333,encanto,0,40,50,10,0.562,Alegría
334,encomiar,20,10,60,10,0.529,Alegría
335,endiosar,20,40,40,0,0.396,Alegría
336,energía,20,20,50,10,0.496,Alegría
337,engrandecer,10,40,30,20,0.53,Alegría
338,ennoblecer,20,30,40,10,0.463,Alegría
339,enorgullecer,0,10,40,50,0.797,Alegría
340,enternecimiento,10,40,20,30,0.564,Alegría
341,entraña,70,30,0,0,0.099,Alegría
342,entrañable,50,20,20,10,0.298,Alegría
343,entrar,50,50,0,0,0.165,Alegría
344,entregar,40,50,10,0,0.231,Alegría
345,entusiasmado,0,0,40,60,0.864,Alegría
346,entusiasmar,0,0,50,50,0.83,Alegría
347,entusiasmo,0,0,40,60,0.864,Alegría
348,entusiasta,0,0,40,60,0.864,Alegría
349,erótico,10,30,50,10,0.529,Alegría
350,espectacular,20,10,50,20,0.563,Alegría
351,esperanza,20,10,70,0,0.495,Alegría
352,esperanzado,20,20,50,10,0.496,Alegría
353,espléndido,0,20,50,30,0.696,Alegría
354,estimar,10,10,60,20,0.629,Alegría
355,estimulante,10,50,20,20,0.497,Alegría
356,estimular,10,40,40,10,0.496,Alegría
357,estremecer,0,50,50,0,0.495,Alegría
358,estupendo,0,0,40,60,0.864,Alegría
359,euforia,10,10,50,30,0.663,Alegría
360,eufórico,10,10,50,30,0.663,Alegría
361,euforizante,10,10,50,30,0.663,Alegría
362,exaltar,0,50,30,20,0.563,Alegría
363,excelente,0,10,50,40,0.763,Alegría
364,excitante,0,0,40,60,0.864,Alegría
365,excitar,0,20,30,50,0.764,Alegría
366,exhortar,60,30,10,0,0.165,Alegría
367,éxito,0,0,40,60,0.864,Alegría
368,expansivo,30,30,40,0,0.363,Alegría
369,expectación,40,40,20,0,0.264,Alegría
370,expectativa,20,70,10,0,0.297,Alegría
371,explosión,50,40,10,0,0.198,Alegría
372,expresión,20,70,10,0,0.297,Alegría
373,extasiante,0,0,60,40,0.796,Alegría
374,extasiar,0,0,70,30,0.762,Alegría
375,extenso,80,10,10,0,0.099,Alegría
376,exuberante,20,40,40,0,0.396,Alegría
377,exuberantemente,20,50,30,0,0.363,Alegría
378,exultar,0,0,60,40,0.796,Alegría
379,familiar,10,30,50,10,0.529,Alegría
380,familiaridad,0,30,50,20,0.629,Alegría
381,fantasía,10,20,50,20,0.596,Alegría
382,fascinación,0,0,30,70,0.898,Alegría
383,fascinado,0,0,30,70,0.898,Alegría
384,fascinante,0,0,20,80,0.932,Alegría
385,fascinar,10,10,30,50,0.731,Alegría
386,fasto,50,30,10,10,0.265,Alegría
387,fastuoso,30,30,40,0,0.363,Alegría
388,fausto,20,50,30,0,0.363,Alegría
389,favor,20,60,20,0,0.33,Alegría
390,favorable,0,40,40,20,0.596,Alegría
391,favorablemente,0,50,30,20,0.563,Alegría
392,favorecedor,0,40,50,10,0.562,Alegría
393,favorecimiento,0,40,50,10,0.562,Alegría
394,felicidad,0,0,0,100,1,Alegría
395,felicitar,0,10,30,60,0.831,Alegría
396,feliz,0,0,10,90,0.966,Alegría
397,felizmente,0,0,10,90,0.966,Alegría
398,feraz,20,60,20,0,0.33,Alegría
399,fervor,0,50,20,30,0.597,Alegría
400,fervoroso,0,60,10,30,0.564,Alegría
401,festivo,0,10,60,30,0.729,Alegría
402,fetiche,50,30,10,10,0.265,Alegría
403,fibra,100,0,0,0,0,Alegría
404,fidelidad,10,60,20,10,0.43,Alegría
405,fiebre,70,20,10,0,0.132,Alegría
406,fiel,0,70,20,10,0.463,Alegría
407,fiesta,0,0,50,50,0.83,Alegría
408,fijar,60,40,0,0,0.132,Alegría
409,filantropo,20,30,40,10,0.463,Alegría
410,final,50,40,10,0,0.198,Alegría
411,fino,50,40,10,0,0.198,Alegría
412,flechar,30,50,20,0,0.297,Alegría
413,florecer,0,30,60,10,0.595,Alegría
414,fogosidad,10,10,80,0,0.561,Alegría
415,fraternidad,0,30,60,10,0.595,Alegría
416,fraternizar,10,30,50,10,0.529,Alegría
417,furor,20,20,50,10,0.496,Alegría
418,gala,30,50,20,0,0.297,Alegría
419,gana,10,50,30,10,0.463,Alegría
420,ganar,0,20,30,50,0.764,Alegría
421,generosidad,0,20,70,10,0.628,Alegría
422,generoso,0,20,70,10,0.628,Alegría
423,genial,0,0,40,60,0.864,Alegría
424,gloria,0,10,40,50,0.797,Alegría
425,gloriar,0,40,50,10,0.562,Alegría
426,glorificar,0,50,40,10,0.529,Alegría
427,goce,0,10,50,40,0.763,Alegría
428,gozar,0,10,30,60,0.831,Alegría
429,gozo,0,10,30,60,0.831,Alegría
430,gozosamente,0,30,10,60,0.765,Alegría
431,gozoso,0,20,20,60,0.798,Alegría
432,gracia,10,30,30,30,0.597,Alegría
433,gracioso,0,0,50,50,0.83,Alegría
434,grande,20,40,40,0,0.396,Alegría
435,grandioso,20,20,30,30,0.564,Alegría
436,gratificador,0,40,20,40,0.664,Alegría
437,gratificante,0,30,30,40,0.697,Alegría
438,gratificar,10,40,10,40,0.598,Alegría
439,gratis,10,30,40,20,0.563,Alegría
440,grato,0,30,40,30,0.663,Alegría
441,guasa,10,50,40,0,0.429,Alegría
442,gustar,10,20,50,20,0.596,Alegría
443,gusto,10,10,60,20,0.629,Alegría
444,gustoso,0,0,70,30,0.762,Alegría
445,halagar,0,50,30,20,0.563,Alegría
446,halagüeño,10,60,30,0,0.396,Alegría
447,hartar,90,10,0,0,0.033,Alegría
448,hechizar,40,50,10,0,0.231,Alegría
449,hechizo,40,60,0,0,0.198,Alegría
450,hermandad,10,10,80,0,0.561,Alegría
451,hilarante,20,0,50,30,0.63,Alegría
452,hilarantemente,20,10,40,30,0.597,Alegría
453,hilaridad,20,0,40,40,0.664,Alegría
454,hipnotizar,50,50,0,0,0.165,Alegría
455,holgura,40,50,0,10,0.265,Alegría
456,honorable,20,20,40,20,0.53,Alegría
457,honrar,10,60,30,0,0.396,Alegría
458,honrosamente,0,70,30,0,0.429,Alegría
459,hospitalario,10,30,40,20,0.563,Alegría
460,hospitalidad,0,30,50,20,0.629,Alegría
461,humanidad,30,40,30,0,0.33,Alegría
462,humanitarismo,40,40,20,0,0.264,Alegría
463,humor,0,20,40,40,0.73,Alegría
464,identificar,60,40,0,0,0.132,Alegría
465,idilio,20,40,40,0,0.396,Alegría
466,ilusionadamente,20,20,60,0,0.462,Alegría
467,ilusionar,10,30,60,0,0.495,Alegría
468,impactar,20,50,30,0,0.363,Alegría
469,ímpetu,10,30,50,10,0.529,Alegría
470,impetuosidad,10,50,30,10,0.463,Alegría
471,impresionar,30,30,30,10,0.397,Alegría
472,impulsar,20,50,30,0,0.363,Alegría
473,inclinación,70,30,0,0,0.099,Alegría
474,inmortalizar,50,40,10,0,0.198,Alegría
475,inspirar,10,40,30,20,0.53,Alegría
476,interés,30,40,30,0,0.33,Alegría
477,intoxicante,80,20,0,0,0.066,Alegría
478,jacarero,10,20,30,40,0.664,Alegría
479,jarana,30,50,0,20,0.365,Alegría
480,jocoso,10,40,20,30,0.564,Alegría
481,jocundo,0,10,50,40,0.763,Alegría
482,jovial,10,0,50,40,0.73,Alegría
483,júbilo,0,0,50,50,0.83,Alegría
484,jubilosamente,0,20,40,40,0.73,Alegría
485,jubiloso,10,10,30,50,0.731,Alegría
486,juerga,20,30,20,30,0.531,Alegría
487,laudable,10,70,20,0,0.363,Alegría
488,leal,20,30,40,10,0.463,Alegría
489,lealtad,20,30,40,10,0.463,Alegría
490,ledamente,0,30,20,50,0.731,Alegría
491,lenificar,50,30,10,10,0.265,Alegría
492,lenizar,70,10,10,10,0.199,Alegría
493,levantar,50,40,10,0,0.198,Alegría
494,libre,0,20,50,30,0.696,Alegría
495,lisonjero,0,20,40,40,0.73,Alegría
496,llenar,30,40,30,0,0.33,Alegría
497,loable,30,40,30,0,0.33,Alegría
498,lograr,0,30,40,30,0.663,Alegría
499,lucro,50,40,10,0,0.198,Alegría
500,macanudo,0,40,60,0,0.528,Alegría
501,magia,0,30,70,0,0.561,Alegría
502,magnetizar,60,40,0,0,0.132,Alegría
503,magnifíco,0,20,20,60,0.798,Alegría
504,magno,40,30,10,20,0.365,Alegría
505,majo,20,30,50,0,0.429,Alegría
506,maravillar,0,10,60,30,0.729,Alegría
507,maravillosamente,0,10,60,30,0.729,Alegría
508,mejorar,0,50,40,10,0.529,Alegría
509,meloso,20,40,40,0,0.396,Alegría
510,miramiento,60,10,30,0,0.231,Alegría
511,mirar,60,30,10,0,0.165,Alegría
512,misericordia,60,20,20,0,0.198,Alegría
513,mitigar,50,50,0,0,0.165,Alegría
514,mollar,70,30,0,0,0.099,Alegría
515,motivar,10,30,30,30,0.597,Alegría
516,mover,70,30,0,0,0.099,Alegría
517,oferta,70,10,20,0,0.165,Alegría
518,opimo,20,40,40,0,0.396,Alegría
519,opíparo,20,40,40,0,0.396,Alegría
520,orgullo,10,20,50,20,0.596,Alegría
521,orgullosamente,0,30,30,40,0.697,Alegría
522,orgulloso,30,10,30,30,0.531,Alegría
523,ovación,0,0,60,40,0.796,Alegría
524,ovacionar,10,10,50,30,0.663,Alegría
525,pacificar,40,40,0,20,0.332,Alegría
526,paladear,10,80,10,0,0.33,Alegría
527,palmas,10,40,40,10,0.496,Alegría
528,parranda,0,20,70,10,0.628,Alegría
529,pasión,0,10,50,40,0.763,Alegría
530,paz,0,40,30,30,0.63,Alegría
531,piadoso,30,30,40,0,0.363,Alegría
532,piedad,50,10,40,0,0.297,Alegría
533,placentero,0,0,60,40,0.796,Alegría
534,placer,0,0,40,60,0.864,Alegría
535,pleitesía,60,30,0,10,0.199,Alegría
536,preferencia,20,50,20,10,0.397,Alegría
537,prerrogativa,40,50,10,0,0.231,Alegría
538,preservar,60,30,10,0,0.165,Alegría
539,presumir,40,40,20,0,0.264,Alegría
540,prever,50,20,30,0,0.264,Alegría
541,privilegio,10,50,30,10,0.463,Alegría
542,probar,50,40,10,0,0.198,Alegría
543,profusión,50,40,10,0,0.198,Alegría
544,propiciar,50,20,30,0,0.264,Alegría
545,propicio,20,60,20,0,0.33,Alegría
546,próspero,0,0,70,30,0.762,Alegría
547,protectoramente,50,30,20,0,0.231,Alegría
548,proteger,50,30,20,0,0.231,Alegría
549,provecho,10,50,30,10,0.463,Alegría
550,provechoso,20,20,40,20,0.53,Alegría
551,providencial,40,50,10,0,0.231,Alegría
552,pujanza,60,30,10,0,0.165,Alegría
553,querer,10,20,40,30,0.63,Alegría
554,quietud,50,40,10,0,0.198,Alegría
555,quillotrar,20,50,30,0,0.363,Alegría
556,radiante,20,20,40,20,0.53,Alegría
557,ratificar,60,40,0,0,0.132,Alegría
558,realización,30,40,20,10,0.364,Alegría
559,realizar,50,30,20,0,0.231,Alegría
560,recoger,70,20,10,0,0.132,Alegría
561,recogimiento,70,20,10,0,0.132,Alegría
562,recomendar,40,30,30,0,0.297,Alegría
563,recompensa,10,10,60,20,0.629,Alegría
564,reconfortante,0,10,40,50,0.797,Alegría
565,reconfortar,0,20,50,30,0.696,Alegría
566,recrear,20,30,30,20,0.497,Alegría
567,refocilar,10,30,40,20,0.563,Alegría
568,regalo,0,20,30,50,0.764,Alegría
569,regocijadamente,0,10,50,40,0.763,Alegría
570,regocijar,0,20,50,30,0.696,Alegría
571,regocijo,0,20,30,50,0.764,Alegría
572,regodear,10,60,20,10,0.43,Alegría
573,regodeo,10,70,20,0,0.363,Alegría
574,reidor,10,0,30,60,0.798,Alegría
575,relamer,20,40,40,0,0.396,Alegría
576,reparación,60,20,20,0,0.198,Alegría
577,reproducir,30,60,10,0,0.264,Alegría
578,respetar,20,30,20,30,0.531,Alegría
579,respeto,20,30,30,20,0.497,Alegría
580,respetuoso,20,30,20,30,0.531,Alegría
581,resplandecer,10,40,10,40,0.598,Alegría
582,reverencia,30,40,20,10,0.364,Alegría
583,risa,0,0,20,80,0.932,Alegría
584,risueño,0,0,20,80,0.932,Alegría
585,romántico,0,40,30,30,0.63,Alegría
586,saber,40,30,30,0,0.297,Alegría
